run_id,task_id,title,func_name,initial_passed,used_repair,iterations,final_passed
1,1,Reverse a string,reverse_string,True,False,0,True
1,2,Sum list (ignore non-numbers),sum_numbers,True,False,0,True
1,3,Safe divide,safe_divide,True,False,0,True
1,4,Find longest word in sentence,longest_word,False,True,3,False
1,5,Count character frequency,char_frequency,True,False,0,True
1,6,Remove duplicates while preserving order,unique_list,True,False,0,True
1,7,Validate email,is_valid_email,False,True,3,False
1,8,Compute running average,running_average,True,False,0,True
1,9,Find second largest,second_largest,False,True,3,False
1,10,Balanced parentheses checker,is_balanced,False,True,3,False
2,1,Reverse a string,reverse_string,True,False,0,True
2,2,Sum list (ignore non-numbers),sum_numbers,True,False,0,True
2,3,Safe divide,safe_divide,True,False,0,True
2,4,Find longest word in sentence,longest_word,False,True,3,False
2,5,Count character frequency,char_frequency,True,False,0,True
2,6,Remove duplicates while preserving order,unique_list,True,False,0,True
2,7,Validate email,is_valid_email,False,True,3,False
2,8,Compute running average,running_average,True,False,0,True
2,9,Find second largest,second_largest,False,True,3,False
2,10,Balanced parentheses checker,is_balanced,False,True,3,False
3,1,Reverse a string,reverse_string,True,False,0,True
3,2,Sum list (ignore non-numbers),sum_numbers,True,False,0,True
3,3,Safe divide,safe_divide,True,False,0,True
3,4,Find longest word in sentence,longest_word,False,True,3,False
3,5,Count character frequency,char_frequency,True,False,0,True
3,6,Remove duplicates while preserving order,unique_list,True,False,0,True
3,7,Validate email,is_valid_email,False,True,3,False
3,8,Compute running average,running_average,True,False,0,True
3,9,Find second largest,second_largest,False,True,3,False
3,10,Balanced parentheses checker,is_balanced,False,True,3,False
4,1,Reverse a string,reverse_string,True,False,0,True
4,2,Sum list (ignore non-numbers),sum_numbers,True,False,0,True
4,3,Safe divide,safe_divide,True,False,0,True
4,4,Find longest word in sentence,longest_word,False,True,3,False
4,5,Count character frequency,char_frequency,True,False,0,True
4,6,Remove duplicates while preserving order,unique_list,True,False,0,True
4,7,Validate email,is_valid_email,False,True,3,False
4,8,Compute running average,running_average,True,False,0,True
4,9,Find second largest,second_largest,False,True,3,False
4,10,Balanced parentheses checker,is_balanced,False,True,3,False
5,1,Reverse a string,reverse_string,True,False,0,True
5,2,Sum list (ignore non-numbers),sum_numbers,True,False,0,True
5,3,Safe divide,safe_divide,True,False,0,True
5,4,Find longest word in sentence,longest_word,False,True,3,False
5,5,Count character frequency,char_frequency,True,False,0,True
5,6,Remove duplicates while preserving order,unique_list,False,True,3,False
5,7,Validate email,is_valid_email,False,True,3,False
5,8,Compute running average,running_average,True,False,0,True
5,9,Find second largest,second_largest,False,True,3,False
5,10,Balanced parentheses checker,is_balanced,False,True,3,False
